GKZ;Gebietsname;Wahlberechtigte;abgegebene;ungueltige;gueltige;OEVP;SPOE;FPOE;GRUENE;NEOS;DNA;KPOE
G00000;Österreich;6372204;3584482;60548;3523934;864072;818287;893754;390503;357214;95859;104245
G10000;Burgenland;235492;138038;3131;134907;37654;40253;33799;8879;9434;2604;2284
G1A000;Burgenland Nord;125736;75714;1638;74076;19329;22171;18652;5242;5946;1450;1286
G1B000;Burgenland Süd;109756;62324;1493;60831;18325;18082;15147;3637;3488;1154;998
G10100;Eisenstadt Stadt;11261;6794;105;6689;2154;1472;1330;704;757;133;139
G10101;Eisenstadt;11261;6559;103;6456;2102;1414;1301;655;721;129;134
G10199;Wahlkarten - Eisenstadt Stadt;0;235;2;233;52;58;29;49;36;4;5
G10200;Rust Stadt;1605;956;17;939;232;244;246;74;88;36;19
G10201;Rust;1605;920;17;903;226;237;238;70;82;32;18
G10299;Wahlkarten - Rust Stadt;0;36;0;36;6;7;8;4;6;4;1
G10300;Eisenstadt - Umgebung;35111;21736;467;21269;5490;6825;5088;1431;1635;425;375
G10301;Breitenbrunn am Neusiedler See;1578;1035;27;1008;213;294;255;89;117;18;22
G10302;Donnerskirchen;1542;914;20;894;299;210;240;57;56;12;20
G10303;Großhöflein;1680;984;23;961;292;249;228;49;105;32;6
G10304;Hornstein;2457;1425;29;1396;296;459;333;107;138;30;33
G10305;Klingenbach;888;554;15;539;126;255;119;16;9;10;4
G10306;Leithaprodersdorf;1024;705;10;695;330;132;115;41;57;10;10
G10307;Mörbisch am See;1824;1005;19;986;228;354;243;61;66;16;18
G10308;Müllendorf;1169;674;16;658;159;218;153;47;49;16;16
G10309;Neufeld an der Leitha;2748;1597;33;1564;255;550;455;117;114;33;40
G10310;Oggau am Neusiedler See;1436;990;29;961;281;333;230;47;48;12;10
G10311;Oslip;1078;735;19;716;235;249;122;55;29;12;14
G10312;Purbach am Neusiedler See;2439;1280;26;1254;356;358;325;96;84;24;11
G10313;Sankt Margarethen im Burgenland;2289;1390;36;1354;473;316;314;101;110;24;16
G10314;Schützen am Gebirge;1143;706;17;689;264;174;164;27;38;10;12
G10315;Siegendorf;2360;1464;25;1439;204;706;299;89;86;25;30
G10316;Steinbrunn;2293;1356;27;1329;285;452;375;74;94;23;26
G10317;Trausdorf an der Wulka;1709;1049;19;1030;232;388;221;58;93;19;19
G10318;Wimpassing an der Leitha;1255;678;11;667;153;157;222;26;63;24;22
G10319;Wulkaprodersdorf;1449;857;18;839;249;281;139;76;72;9;13
G10320;Loretto;437;270;5;265;77;70;75;16;16;11;0
G10321;Stotzing;635;365;10;355;117;97;96;10;22;7;6
G10322;Zillingtal;813;474;10;464;88;146;117;40;48;16;9
G10323;Zagersdorf;865;538;15;523;137;195;113;23;42;10;3
G10399;Wahlkarten - Eisenstadt - Umgebung;0;691;8;683;141;182;135;109;79;22;15
G10400;Güssing;21332;12834;312;12522;4152;3584;3001;678;648;232;227
G10401;Bocksdorf;695;405;11;394;90;167;86;17;21;9;4
G10402;Burgauberg-Neudauberg;1121;599;12;587;177;146;166;46;26;15;11
G10403;Eberau;790;480;7;473;230;89;97;25;20;9;3
G10404;Gerersdorf-Sulz;850;545;6;539;195;157;112;43;23;6;3
G10405;Güssing;2863;1671;50;1621;564;432;387;70;122;24;22
G10406;Güttenbach;739;465;22;443;172;121;66;33;40;4;7
G10407;Heiligenbrunn;631;421;7;414;187;78;106;22;12;4;5
G10408;Kukmirn;1653;812;20;792;256;175;226;45;49;17;24
G10409;Neuberg im Burgenland;815;444;11;433;174;121;88;20;19;7;4
G10410;Neustift bei Güssing;374;224;6;218;33;89;65;12;8;3;8
G10411;Olbendorf;1193;626;14;612;93;256;166;35;21;16;25
G10412;Ollersdorf im Burgenland;791;484;7;477;167;143;98;29;23;6;11
G10413;Sankt Michael im Burgenland;842;536;11;525;169;113;163;31;27;10;12
G10414;Stegersbach;2130;1162;23;1139;307;363;285;67;71;28;18
G10415;Stinatz;903;594;15;579;138;294;69;35;27;9;7
G10416;Strem;811;444;12;432;209;70;114;7;13;11;8
G10417;Tobaj;1111;698;19;679;268;127;200;35;27;10;12
G10418;Hackerberg;308;190;7;183;52;59;48;6;5;10;3
G10419;Wörterberg;406;255;5;250;61;95;54;18;8;12;2
G10420;Großmürbisch;215;140;3;137;60;36;27;5;8;1;0
G10421;Inzenhof;290;169;6;163;50;61;36;6;5;4;1
G10422;Kleinmürbisch;209;133;1;132;56;39;31;1;2;2;1
G10423;Tschanigraben;56;37;0;37;4;23;3;2;2;2;1
G10424;Heugraben;199;151;3;148;50;51;40;4;3;0;0
G10425;Rohr im Burgenland;325;170;7;163;36;55;48;5;12;2;5
G10426;Bildein;294;217;7;210;117;22;47;9;9;1;5
G10427;Rauchwart;400;266;9;257;57;94;78;9;12;1;6
G10428;Moschendorf;318;205;5;200;83;47;46;10;6;3;5
G10499;Wahlkarten - Güssing;0;291;6;285;97;61;49;31;27;6;14
G10500;Jennersdorf;14228;7842;190;7652;2049;1957;2295;500;509;195;147
G10501;Deutsch Kaltenbrunn;1420;801;27;774;159;235;238;61;48;21;12
G10502;Eltendorf;772;438;12;426;103;119;142;21;25;10;6
G10503;Heiligenkreuz im Lafnitztal;975;490;13;477;127;128;144;31;24;10;13
G10504;Jennersdorf;3427;1752;29;1723;458;302;630;118;137;49;29
G10505;Minihof-Liebau;857;442;5;437;111;127;123;20;34;11;11
G10506;Mogersdorf;939;462;11;451;113;130;136;26;29;7;10
G10507;Neuhaus am Klausenbach;732;390;6;384;130;82;109;14;19;20;10
G10508;Rudersdorf;1843;955;27;928;265;248;227;69;71;20;28
G10509;Sankt Martin an der Raab;1668;1101;30;1071;330;263;298;74;69;26;11
G10510;Weichselbaum;609;347;18;329;112;90;80;22;16;7;2
G10511;Königsdorf;653;337;5;332;80;108;96;14;22;7;5
G10512;Mühlgraben;333;180;3;177;32;80;40;13;4;2;6
G10599;Wahlkarten - Jennersdorf;0;147;4;143;29;45;32;17;11;5;4
G10600;Mattersburg;31897;19331;452;18879;4385;6315;4752;1246;1455;371;355
G10601;Draßburg;921;560;12;548;74;247;138;36;42;5;6
G10602;Forchtenstein;2261;1306;23;1283;363;367;342;65;102;28;16
G10603;Hirm;819;531;16;515;53;278;115;26;25;11;7
G10604;Loipersbach im Burgenland;972;539;13;526;75;198;179;30;27;9;8
G10605;Marz;1655;1056;28;1028;283;309;257;62;91;9;17
G10606;Mattersburg;5732;3210;68;3142;754;936;806;232;280;45;89
G10607;Neudörfl;3679;1981;45;1936;345;690;567;107;138;53;36
G10608;Pöttelsdorf;632;407;5;402;113;121;90;30;29;14;5
G10609;Pöttsching;2467;1542;36;1506;322;513;368;112;119;37;35
G10610;Rohrbach bei Mattersburg;2068;1326;30;1296;328;490;294;55;89;26;14
G10611;Bad Sauerbrunn;1768;1066;23;1043;203;255;294;124;114;30;23
G10612;Schattendorf;1882;1087;34;1053;164;503;225;71;66;9;15
G10613;Sieggraben;985;611;16;595;200;170;169;19;26;5;6
G10614;Sigleß;989;645;14;631;114;284;125;42;40;16;10
G10615;Wiesen;2212;1181;42;1139;346;215;339;67;112;29;31
G10616;Antau;634;404;9;395;126;113;101;19;25;3;8
G10617;Baumgarten;711;475;9;466;84;216;84;32;34;6;10
G10618;Zemendorf-Stöttera;1021;651;12;639;240;201;108;33;40;12;5
G10619;Krensdorf;489;358;9;349;131;99;75;15;14;9;6
G10699;Wahlkarten - Mattersburg;0;395;8;387;67;110;76;69;42;15;8
G10700;Neusiedl am See;45862;26897;597;26300;7068;7315;7236;1787;2011;485;398
G10701;Andau;1859;1133;23;1110;261;413;342;34;40;15;5
G10702;Apetlon;1500;781;11;770;278;219;201;15;38;10;9
G10703;Bruckneudorf;2403;1290;35;1255;178;366;419;111;99;45;37
G10704;Deutsch Jahrndorf;462;317;8;309;82;112;81;15;14;4;1
G10705;Frauenkirchen;2366;1236;45;1191;297;361;356;62;83;17;15
G10706;Gattendorf;1016;628;18;610;153;206;180;22;38;5;6
G10707;Gols;3189;1850;53;1797;359;506;548;170;139;39;36
G10708;Halbturn;1560;980;26;954;398;185;233;45;66;13;14
G10709;Illmitz;1978;1288;29;1259;423;425;252;41;84;24;10
G10710;Jois;1313;742;13;729;219;176;194;49;56;19;16
G10711;Kittsee;1487;779;22;757;240;199;205;28;53;13;19
G10712;Mönchhof;1827;943;15;928;328;198;266;48;58;15;15
G10713;Neusiedl am See;6348;3565;46;3519;870;813;825;401;460;81;69
G10714;Nickelsdorf;1251;735;15;720;163;222;197;71;32;16;19
G10715;Pama;872;605;17;588;240;195;98;14;34;5;2
G10716;Pamhagen;1306;705;17;688;236;192;181;26;31;12;10
G10717;Parndorf;3479;1743;27;1716;228;507;692;102;120;36;31
G10718;Podersdorf am See;1756;1097;25;1072;434;205;244;80;83;16;10
G10719;Sankt Andrä am Zicksee;1143;683;12;671;245;167;168;27;45;11;8
G10720;Tadten;946;612;10;602;235;191;116;22;30;3;5
G10721;Wallern im Burgenland;1385;833;36;797;201;299;216;37;25;11;8
G10722;Weiden am See;2014;1273;19;1254;333;274;341;125;145;25;11
G10723;Winden am See;1100;570;10;560;117;172;166;41;47;9;8
G10724;Zurndorf;1730;942;24;918;133;332;311;58;61;9;14
G10725;Neudorf;612;358;15;343;103;94;102;17;17;6;4
G10726;Potzneusiedl;462;270;9;261;63;63;106;16;9;4;0
G10727;Edelstal;498;328;8;320;126;72;86;17;13;5;1
G10799;Wahlkarten - Neusiedl am See;0;611;9;602;125;151;110;93;91;17;15
G10800;Oberpullendorf;30791;19249;476;18773;5966;6068;4083;1035;1038;336;247
G10801;Deutschkreutz;2592;1393;31;1362;484;399;306;66;81;18;8
G10802;Draßmarkt;1112;771;14;757;307;224;111;41;48;18;8
G10803;Frankenau-Unterpullendorf;901;620;13;607;239;139;122;57;34;11;5
G10804;Großwarasdorf;1141;721;21;700;287;160;136;55;35;16;11
G10805;Horitschon;1488;899;22;877;323;249;189;48;45;15;8
G10806;Kaisersdorf;510;344;5;339;59;146;76;22;22;14;0
G10807;Kobersdorf;1570;986;19;967;225;373;248;36;54;14;17
G10808;Lackenbach;919;495;13;482;150;171;95;20;29;12;5
G10809;Lockenhaus;1648;939;27;912;247;281;225;75;50;27;7
G10810;Lutzmannsburg;670;440;20;420;141;112;109;23;29;2;4
G10811;Mannersdorf an der Rabnitz;1418;803;14;789;218;269;205;32;42;15;8
G10812;Markt Sankt Martin;1029;702;14;688;208;256;141;40;26;11;6
G10813;Neckenmarkt;1426;954;28;926;398;244;188;33;34;15;14
G10814;Neutal;911;625;18;607;94;302;153;17;31;1;9
G10815;Nikitsch;1131;747;21;726;302;214;115;46;34;5;10
G10816;Oberpullendorf;2600;1321;32;1289;428;326;283;94;114;24;20
G10817;Pilgersdorf;1322;856;17;839;351;184;203;33;40;15;13
G10818;Piringsdorf;695;426;6;420;128;174;58;22;24;9;5
G10819;Raiding;760;354;7;347;115;148;59;8;13;1;3
G10820;Ritzing;771;460;13;447;87;156;119;20;34;10;21
G10821;Steinberg-Dörfl;1048;710;24;686;218;192;165;41;37;18;15
G10822;Stoob;1117;676;17;659;144;275;148;35;39;10;8
G10823;Weppersdorf;1572;954;34;920;169;389;219;47;51;34;11
G10824;Lackendorf;483;255;6;249;64;106;52;8;13;5;1
G10825;Unterfrauenhaid;520;389;7;382;150;138;68;12;5;2;7
G10826;Unterrabnitz-Schwendgraben;520;341;9;332;126;109;70;15;7;2;3
G10827;Weingraben;287;216;6;210;65;84;40;8;2;3;8
G10828;Oberloisdorf;630;431;12;419;148;130;100;15;18;4;4
G10899;Wahlkarten - Oberpullendorf;0;421;6;415;91;118;80;66;47;5;8
G10900;Oberwart;43405;22399;515;21884;6158;6473;5768;1424;1293;391;377
G10901;Bad Tatzmannsdorf;1280;715;12;703;222;153;157;65;73;25;8
G10902;Bernstein;1762;1152;40;1112;301;433;253;56;41;15;13
G10903;Deutsch Schützen-Eisenberg;916;578;6;572;266;93;138;22;39;5;9
G10904;Grafenschachen;1047;543;27;516;117;223;135;9;20;11;1
G10905;Großpetersdorf;2888;1424;38;1386;352;487;322;86;89;31;19
G10906;Hannersdorf;600;351;5;346;131;120;58;10;15;6;6
G10907;Kemeten;1240;629;15;614;102;193;219;26;35;17;22
G10908;Kohfidisch;1204;646;21;625;196;171;175;32;31;9;11
G10909;Litzelsdorf;961;560;7;553;143;140;177;55;16;8;14
G10910;Loipersdorf-Kitzladen;1092;383;11;372;111;131;85;22;10;5;8
G10911;Mariasdorf;984;534;16;518;132;151;160;40;21;5;9
G10912;Markt Allhau;1575;877;7;870;209;224;242;72;73;31;19
G10913;Markt Neuhodis;557;310;5;305;101;106;76;6;6;1;9
G10914;Mischendorf;1269;646;18;628;251;186;122;29;25;5;10
G10915;Oberdorf im Burgenland;820;461;15;446;81;167;155;13;20;8;2
G10916;Oberschützen;1881;911;19;892;264;213;221;103;54;14;23
G10917;Oberwart;5674;2359;44;2315;635;592;620;182;204;40;42
G10918;Pinkafeld;4503;2254;53;2201;577;530;639;185;187;42;41
G10919;Rechnitz;2368;1154;26;1128;266;381;362;46;44;13;16
G10920;Riedlingsdorf;1312;673;27;646;109;237;208;51;22;13;6
G10921;Rotenturm an der Pinka;1136;502;19;483;117;178;104;28;30;8;18
G10922;Schachendorf;539;312;7;305;133;59;72;17;14;6;4
G10923;Stadtschlaining;1636;743;17;726;195;283;159;49;29;5;6
G10924;Unterkohlstätten;798;588;8;580;204;233;92;21;22;3;5
G10925;Unterwart;690;318;9;309;141;53;74;21;10;3;7
G10926;Weiden bei Rechnitz;689;349;3;346;111;89;99;24;15;2;6
G10927;Wiesfleck;985;350;5;345;109;78;111;22;10;8;7
G10928;Wolfau;1178;555;7;548;187;146;134;27;26;18;10
G10929;Neustift an der Lafnitz;696;364;10;354;56;123;109;19;27;12;8
G10930;Jabing;621;295;6;289;90;79;84;14;16;4;2
G10931;Badersdorf;247;140;0;140;61;39;31;1;4;2;2
G10932;Schandorf;257;160;2;158;64;36;41;4;7;4;2
G10999;Wahlkarten - Oberwart;0;563;10;553;124;146;134;67;58;12;12
G20000;Kärnten;433737;219784;4209;215575;40839;59367;71470;14276;18878;6376;4369
G2A000;Klagenfurt;121434;60493;1046;59447;10903;16128;16931;5333;6635;1952;1565
G2B000;Villach;95725;49949;883;49066;7503;14343;16641;3422;4617;1482;1058
G2C000;Kärnten West;98180;50688;972;49716;10906;12144;18161;2577;3701;1496;731
G2D000;Kärnten Ost;118398;58654;1308;57346;11527;16752;19737;2944;3925;1446;1015
G20100;Klagenfurt Stadt;73388;35200;550;34650;5991;9374;9376;3446;4288;1101;1074
G20101;Klagenfurt am Wörthersee;73388;34195;538;33657;5831;9120;9235;3245;4126;1080;1020
G20199;Wahlkarten - Klagenfurt Stadt;0;1005;12;993;160;254;141;201;162;21;54
G20200;Villach Stadt;44425;22355;330;22025;3127;6559;7075;1730;2325;695;514
G20201;Villach;44425;21791;321;21470;3044;6423;6976;1623;2235;675;494
G20299;Wahlkarten - Villach Stadt;0;564;9;555;83;136;99;107;90;20;20
G20300;Hermagor;14291;8235;240;7995;2361;2109;2196;406;583;232;108
G20302;Dellach;992;540;13;527;178;130;150;25;28;9;7
G20305;Hermagor-Pressegger See;5307;2960;80;2880;699;889;737;157;261;86;51
G20306;Kirchbach;2073;1140;36;1104;368;264;343;45;52;24;8
G20307;Kötschach-Mauthen;2650;1485;58;1427;437;342;410;61;108;52;17
